DT,O,H,L,C
2019-01-01 15:00:00,1285.0,1285.0,1283.7,1283.8
2019-01-01 15:05:00,1283.7,1283.9,1283.5,1283.8
2019-01-01 15:10:00,1283.8,1284.0,1283.5,1283.5
2019-01-01 15:15:00,1283.5,1283.5,1283.2,1283.2
2019-01-01 15:20:00,1283.3,1283.3,1283.0,1283.2
2019-01-01 15:25:00,1283.2,1283.3,1282.9,1283.0
2019-01-01 15:30:00,1283.1,1283.1,1282.8,1282.9
2019-01-01 15:35:00,1282.8,1283.5,1282.8,1283.5
2019-01-01 15:40:00,1283.5,1283.6,1283.3,1283.4
2019-01-01 15:45:00,1283.5,1283.6,1283.2,1283.2
2019-01-01 15:50:00,1283.2,1283.3,1283.0,1283.3
2019-01-01 15:55:00,1283.3,1283.5,1283.3,1283.3
2019-01-01 16:00:00,1283.3,1283.5,1283.3,1283.4
2019-01-01 16:05:00,1283.5,1283.8,1283.3,1283.7
2019-01-01 16:10:00,1283.6,1283.9,1283.5,1283.9
2019-01-01 16:15:00,1283.9,1284.0,1283.7,1283.9
2019-01-01 16:20:00,1283.9,1284.0,1283.9,1284.0
2019-01-01 16:25:00,1284.0,1284.0,1283.4,1283.6
2019-01-01 16:30:00,1283.7,1283.7,1283.0,1283.0
2019-01-01 16:35:00,1283.0,1283.3,1283.0,1283.1
2019-01-01 16:40:00,1283.0,1283.1,1282.7,1282.7
2019-01-01 16:45:00,1282.7,1283.0,1282.6,1282.9
2019-01-01 16:50:00,1282.9,1282.9,1282.6,1282.6
2019-01-01 16:55:00,1282.6,1282.6,1282.1,1282.2
2019-01-01 17:00:00,1282.2,1282.3,1281.1,1281.5
2019-01-01 17:05:00,1281.6,1282.1,1281.5,1281.9
2019-01-01 17:10:00,1282.0,1282.1,1280.8,1281.1
2019-01-01 17:15:00,1281.2,1281.9,1281.2,1281.9
2019-01-01 17:20:00,1281.9,1282.0,1281.3,1281.4
2019-01-01 17:25:00,1281.4,1281.7,1281.2,1281.5
2019-01-01 17:30:00,1281.5,1281.8,1281.1,1281.4
2019-01-01 17:35:00,1281.5,1281.7,1281.4,1281.6
2019-01-01 17:40:00,1281.6,1282.0,1281.5,1281.9
2019-01-01 17:45:00,1281.9,1281.9,1281.3,1281.5
2019-01-01 17:50:00,1281.5,1282.1,1281.5,1282.1
2019-01-01 17:55:00,1282.1,1282.4,1281.8,1281.9
2019-01-01 18:00:00,1281.9,1282.2,1281.8,1282.0
2019-01-01 18:05:00,1281.9,1282.4,1281.8,1282.1
2019-01-01 18:10:00,1282.1,1283.1,1282.1,1283.0
2019-01-01 18:15:00,1283.0,1283.2,1282.6,1282.9
2019-01-01 18:20:00,1283.0,1283.8,1283.0,1283.6
2019-01-01 18:25:00,1283.6,1283.7,1283.2,1283.2
2019-01-01 18:30:00,1283.3,1283.4,1283.0,1283.0
2019-01-01 18:35:00,1283.0,1283.0,1282.7,1282.9
2019-01-01 18:40:00,1283.0,1284.5,1283.0,1284.1
2019-01-01 18:45:00,1284.1,1284.5,1283.7,1284.4
2019-01-01 18:50:00,1284.4,1284.5,1284.0,1284.2
2019-01-01 18:55:00,1284.1,1284.8,1284.0,1284.8
2019-01-01 19:00:00,1284.8,1285.2,1284.6,1284.7
2019-01-01 19:05:00,1284.6,1284.8,1284.5,1284.7
2019-01-01 19:10:00,1284.7,1284.7,1284.2,1284.4
2019-01-01 19:15:00,1284.4,1284.8,1284.4,1284.6
2019-01-01 19:20:00,1284.6,1284.9,1284.5,1284.9
2019-01-01 19:25:00,1284.8,1285.4,1284.8,1285.4
2019-01-01 19:30:00,1285.3,1285.4,1284.9,1284.9
2019-01-01 19:35:00,1285.0,1285.2,1284.9,1284.9
2019-01-01 19:40:00,1284.9,1284.9,1284.8,1284.8
2019-01-01 19:45:00,1284.8,1284.8,1284.5,1284.5
2019-01-01 19:50:00,1284.5,1284.6,1284.4,1284.5
2019-01-01 19:55:00,1284.6,1284.8,1284.4,1284.4
2019-01-01 20:00:00,1284.3,1284.6,1284.1,1284.5
2019-01-01 20:05:00,1284.6,1284.7,1284.4,1284.6
2019-01-01 20:10:00,1284.7,1285.0,1284.6,1284.9
2019-01-01 20:15:00,1284.9,1285.4,1284.8,1285.3
2019-01-01 20:20:00,1285.3,1285.3,1284.8,1284.9
2019-01-01 20:25:00,1284.9,1285.1,1284.8,1285.0
2019-01-01 20:30:00,1284.9,1285.0,1284.6,1284.8
2019-01-01 20:35:00,1284.8,1285.7,1284.8,1285.3
2019-01-01 20:40:00,1285.3,1286.0,1285.3,1285.8
2019-01-01 20:45:00,1285.8,1286.1,1285.7,1286.0
2019-01-01 20:50:00,1286.0,1286.1,1285.9,1286.0
2019-01-01 20:55:00,1286.0,1286.2,1286.0,1286.0
2019-01-01 21:00:00,1286.1,1286.1,1285.9,1286.1
2019-01-01 21:05:00,1286.1,1286.2,1286.0,1286.0
2019-01-01 21:10:00,1286.0,1286.1,1285.8,1285.9
2019-01-01 21:15:00,1285.9,1287.3,1285.8,1287.2
2019-01-01 21:20:00,1287.2,1287.5,1287.0,1287.3
2019-01-01 21:25:00,1287.2,1287.6,1286.7,1286.9
2019-01-01 21:30:00,1286.9,1287.3,1286.6,1287.1
2019-01-01 21:35:00,1287.1,1287.9,1287.1,1287.3
2019-01-01 21:40:00,1287.3,1288.4,1287.3,1288.1
2019-01-01 21:45:00,1288.0,1288.1,1287.4,1287.5
2019-01-01 21:50:00,1287.6,1288.1,1287.1,1288.0
2019-01-01 21:55:00,1288.1,1288.6,1287.7,1288.4
2019-01-01 22:00:00,1288.4,1288.8,1288.3,1288.3
2019-01-01 22:05:00,1288.3,1288.8,1288.2,1288.8
2019-01-01 22:10:00,1288.9,1289.5,1288.8,1289.0
2019-01-01 22:15:00,1289.0,1289.2,1288.6,1288.9
2019-01-01 22:20:00,1288.9,1289.4,1288.7,1288.7
2019-01-01 22:25:00,1288.7,1289.2,1288.5,1288.7
2019-01-01 22:30:00,1288.7,1289.0,1288.5,1289.0
2019-01-01 22:35:00,1288.9,1289.0,1288.4,1288.5
2019-01-01 22:40:00,1288.5,1289.1,1288.3,1289.0
2019-01-01 22:45:00,1289.0,1289.1,1288.3,1288.3
2019-01-01 22:50:00,1288.4,1288.6,1287.7,1288.0
2019-01-01 22:55:00,1288.0,1288.2,1287.8,1288.0
2019-01-01 23:00:00,1288.0,1288.3,1287.9,1288.0
2019-01-01 23:05:00,1288.0,1288.5,1287.9,1288.3
2019-01-01 23:10:00,1288.3,1288.6,1287.5,1287.6
2019-01-01 23:15:00,1287.7,1287.8,1287.3,1287.5
2019-01-01 23:20:00,1287.6,1288.0,1287.4,1287.6
2019-01-01 23:25:00,1287.6,1287.7,1287.1,1287.3
2019-01-01 23:30:00,1287.4,1287.6,1286.8,1287.0
2019-01-01 23:35:00,1287.0,1287.9,1286.7,1287.6
2019-01-01 23:40:00,1287.7,1287.7,1287.3,1287.5
2019-01-01 23:45:00,1287.4,1287.6,1287.3,1287.6
2019-01-01 23:50:00,1287.5,1287.7,1287.5,1287.6
2019-01-01 23:55:00,1287.5,1287.7,1287.1,1287.5
2019-01-02 00:00:00,1287.5,1288.1,1287.3,1287.8
2019-01-02 00:05:00,1287.8,1288.6,1287.7,1288.4
2019-01-02 00:10:00,1288.4,1288.7,1287.6,1287.6
2019-01-02 00:15:00,1287.6,1288.0,1287.5,1287.6
2019-01-02 00:20:00,1287.5,1288.3,1287.4,1287.5
2019-01-02 00:25:00,1287.4,1288.1,1287.4,1288.0
2019-01-02 00:30:00,1288.0,1288.0,1287.1,1287.2
2019-01-02 00:35:00,1287.2,1288.2,1286.9,1288.2
2019-01-02 00:40:00,1288.2,1290.8,1288.2,1290.0
2019-01-02 00:45:00,1289.9,1290.7,1289.6,1290.0
2019-01-02 00:50:00,1290.0,1290.1,1289.8,1290.0
2019-01-02 00:55:00,1289.9,1290.3,1289.7,1290.2
2019-01-02 01:00:00,1290.2,1290.2,1289.2,1289.3
2019-01-02 01:05:00,1289.3,1290.1,1289.3,1289.8
2019-01-02 01:10:00,1289.8,1290.0,1289.4,1290.0
2019-01-02 01:15:00,1290.0,1291.0,1289.8,1290.7
2019-01-02 01:20:00,1290.7,1290.8,1289.6,1289.8
2019-01-02 01:25:00,1289.7,1290.5,1289.7,1289.9
2019-01-02 01:30:00,1290.0,1290.4,1289.6,1289.9
2019-01-02 01:35:00,1290.0,1290.2,1289.4,1289.7
2019-01-02 01:40:00,1289.7,1290.1,1289.7,1290.0
2019-01-02 01:45:00,1290.0,1290.0,1289.6,1289.7
2019-01-02 01:50:00,1289.7,1290.1,1289.4,1289.5
2019-01-02 01:55:00,1289.4,1289.6,1289.1,1289.1
2019-01-02 02:00:00,1289.2,1289.4,1288.6,1288.6
2019-01-02 02:05:00,1288.6,1289.3,1288.4,1289.2
2019-01-02 02:10:00,1289.1,1289.2,1288.7,1289.2
2019-01-02 02:15:00,1289.3,1289.4,1289.1,1289.3
2019-01-02 02:20:00,1289.4,1289.7,1289.3,1289.5
2019-01-02 02:25:00,1289.6,1289.6,1289.2,1289.2
2019-01-02 02:30:00,1289.2,1289.4,1289.1,1289.3
2019-01-02 02:35:00,1289.3,1289.4,1289.1,1289.3
2019-01-02 02:40:00,1289.4,1289.7,1289.3,1289.6
2019-01-02 02:45:00,1289.6,1290.0,1289.2,1289.7
2019-01-02 02:50:00,1289.7,1289.9,1288.8,1289.2
2019-01-02 02:55:00,1289.1,1289.6,1289.1,1289.4
2019-01-02 03:00:00,1289.5,1289.6,1289.2,1289.6
2019-01-02 03:05:00,1289.5,1289.7,1289.1,1289.5
2019-01-02 03:10:00,1289.4,1289.5,1289.1,1289.1
2019-01-02 03:15:00,1289.1,1289.5,1289.0,1289.3
2019-01-02 03:20:00,1289.4,1289.5,1288.8,1289.0
2019-01-02 03:25:00,1288.9,1289.0,1288.7,1288.9
2019-01-02 03:30:00,1288.9,1289.0,1288.4,1288.7
2019-01-02 03:35:00,1288.6,1289.0,1288.6,1289.0
2019-01-02 03:40:00,1289.0,1289.1,1288.6,1288.6
2019-01-02 03:45:00,1288.7,1288.8,1288.4,1288.6
2019-01-02 03:50:00,1288.6,1288.6,1288.4,1288.6
2019-01-02 03:55:00,1288.7,1289.0,1288.4,1288.5
2019-01-02 04:00:00,1288.5,1288.5,1286.5,1287.7
2019-01-02 04:05:00,1287.8,1287.9,1287.5,1287.8
2019-01-02 04:10:00,1287.8,1288.2,1287.7,1288.1
2019-01-02 04:15:00,1288.1,1288.3,1287.8,1288.3
2019-01-02 04:20:00,1288.3,1288.3,1287.5,1287.5
2019-01-02 04:25:00,1287.5,1287.5,1286.2,1286.3
2019-01-02 04:30:00,1286.3,1287.1,1286.1,1286.9
2019-01-02 04:35:00,1287.0,1287.2,1286.5,1287.0
2019-01-02 04:40:00,1287.0,1287.3,1286.4,1286.6
2019-01-02 04:45:00,1286.5,1287.1,1286.4,1287.0
2019-01-02 04:50:00,1287.1,1287.3,1286.8,1286.9
2019-01-02 04:55:00,1286.8,1288.0,1286.6,1287.5
2019-01-02 05:00:00,1287.5,1287.6,1286.0,1286.4
2019-01-02 05:05:00,1286.5,1287.1,1286.3,1287.0
2019-01-02 05:10:00,1287.1,1287.5,1287.0,1287.1
2019-01-02 05:15:00,1287.1,1287.7,1287.0,1287.7
2019-01-02 05:20:00,1287.7,1288.8,1287.0,1288.8
2019-01-02 05:25:00,1288.8,1289.5,1288.4,1288.8
2019-01-02 05:30:00,1288.8,1289.0,1287.1,1287.1
2019-01-02 05:35:00,1287.1,1287.5,1286.0,1286.3
2019-01-02 05:40:00,1286.4,1286.6,1285.3,1286.6
2019-01-02 05:45:00,1286.6,1286.7,1285.9,1286.1
2019-01-02 05:50:00,1286.1,1286.7,1286.0,1286.5
2019-01-02 05:55:00,1286.5,1287.1,1286.1,1286.3
2019-01-02 06:00:00,1286.3,1286.7,1285.9,1286.3
2019-01-02 06:05:00,1286.2,1286.8,1285.8,1286.5
2019-01-02 06:10:00,1286.4,1286.9,1286.1,1286.8
2019-01-02 06:15:00,1286.8,1287.2,1286.5,1286.6
2019-01-02 06:20:00,1286.6,1286.7,1283.0,1285.7
2019-01-02 06:25:00,1285.7,1285.8,1284.6,1285.3
2019-01-02 06:30:00,1285.3,1286.5,1285.0,1286.3
2019-01-02 06:35:00,1286.3,1286.8,1285.9,1286.0
2019-01-02 06:40:00,1286.0,1286.5,1286.0,1286.1
2019-01-02 06:45:00,1286.1,1286.1,1284.8,1285.7
2019-01-02 06:50:00,1285.7,1285.7,1284.5,1285.0
2019-01-02 06:55:00,1285.0,1285.8,1284.9,1285.6
2019-01-02 07:00:00,1285.6,1286.1,1284.8,1285.9
2019-01-02 07:05:00,1285.9,1287.3,1285.6,1286.6
2019-01-02 07:10:00,1286.6,1287.8,1285.6,1287.7
2019-01-02 07:15:00,1287.8,1288.3,1287.1,1287.8
2019-01-02 07:20:00,1287.8,1287.8,1286.7,1287.2
2019-01-02 07:25:00,1287.3,1287.6,1286.7,1287.6
2019-01-02 07:30:00,1287.6,1288.9,1286.9,1288.6
2019-01-02 07:35:00,1288.5,1289.1,1288.0,1288.4
2019-01-02 07:40:00,1288.3,1289.0,1288.3,1288.9
2019-01-02 07:45:00,1288.9,1289.1,1288.1,1288.4
2019-01-02 07:50:00,1288.3,1288.6,1287.8,1288.2
2019-01-02 07:55:00,1288.1,1288.1,1287.5,1287.8
2019-01-02 08:00:00,1287.9,1288.1,1287.5,1287.8
2019-01-02 08:05:00,1287.9,1288.3,1287.6,1287.8
2019-01-02 08:10:00,1287.8,1289.6,1287.7,1289.0
2019-01-02 08:15:00,1289.1,1289.7,1288.7,1289.6
2019-01-02 08:20:00,1289.6,1289.7,1289.0,1289.0
2019-01-02 08:25:00,1289.1,1289.3,1288.8,1288.9
2019-01-02 08:30:00,1289.0,1289.1,1287.6,1287.7
2019-01-02 08:35:00,1287.7,1287.8,1286.0,1286.1
2019-01-02 08:40:00,1286.1,1286.3,1285.3,1285.8
2019-01-02 08:45:00,1285.9,1286.4,1285.7,1286.4
2019-01-02 08:50:00,1286.3,1286.9,1286.3,1286.8
2019-01-02 08:55:00,1286.7,1287.5,1286.7,1287.3
2019-01-02 09:00:00,1287.3,1287.7,1287.1,1287.7
2019-01-02 09:05:00,1287.6,1288.1,1287.6,1288.0
2019-01-02 09:10:00,1288.0,1288.1,1287.7,1287.7
2019-01-02 09:15:00,1287.8,1288.6,1287.7,1288.1
2019-01-02 09:20:00,1288.1,1288.4,1286.7,1287.4
2019-01-02 09:25:00,1287.4,1287.5,1287.0,1287.3
2019-01-02 09:30:00,1287.3,1287.6,1287.0,1287.5
2019-01-02 09:35:00,1287.6,1287.9,1287.1,1287.2
2019-01-02 09:40:00,1287.2,1287.3,1286.5,1286.8
2019-01-02 09:45:00,1286.8,1286.8,1286.1,1286.6
2019-01-02 09:50:00,1286.6,1286.9,1286.3,1286.8
2019-01-02 09:55:00,1286.8,1286.9,1286.1,1286.1
2019-01-02 10:00:00,1286.0,1286.1,1285.0,1285.6
2019-01-02 10:05:00,1285.5,1285.5,1283.9,1284.1
2019-01-02 10:10:00,1284.1,1284.5,1283.7,1284.3
2019-01-02 10:15:00,1284.4,1284.4,1283.7,1283.8
2019-01-02 10:20:00,1283.8,1284.6,1283.6,1284.3
2019-01-02 10:25:00,1284.3,1284.3,1283.2,1284.1
2019-01-02 10:30:00,1284.1,1284.1,1283.2,1283.3
2019-01-02 10:35:00,1283.2,1283.4,1282.9,1283.3
2019-01-02 10:40:00,1283.3,1283.3,1282.7,1282.8
2019-01-02 10:45:00,1282.8,1282.9,1282.2,1282.4
2019-01-02 10:50:00,1282.3,1282.3,1280.6,1280.8
2019-01-02 10:55:00,1280.9,1281.5,1280.6,1281.3
2019-01-02 11:00:00,1281.2,1281.7,1281.0,1281.6
2019-01-02 11:05:00,1281.6,1282.6,1281.1,1282.2
2019-01-02 11:10:00,1282.1,1282.6,1281.9,1282.3
2019-01-02 11:15:00,1282.4,1282.6,1281.9,1282.1
2019-01-02 11:20:00,1282.1,1282.3,1282.0,1282.1
2019-01-02 11:25:00,1282.1,1282.6,1282.1,1282.5
2019-01-02 11:30:00,1282.5,1282.5,1281.7,1282.0
2019-01-02 11:35:00,1281.9,1282.4,1281.8,1282.4
2019-01-02 11:40:00,1282.3,1282.6,1282.1,1282.6
2019-01-02 11:45:00,1282.6,1283.3,1282.6,1283.2
2019-01-02 11:50:00,1283.2,1283.4,1283.0,1283.3
2019-01-02 11:55:00,1283.3,1283.5,1283.0,1283.5
2019-01-02 12:00:00,1283.5,1283.5,1283.2,1283.2
2019-01-02 12:05:00,1283.3,1283.4,1283.1,1283.4
2019-01-02 12:10:00,1283.3,1283.4,1282.7,1282.8
2019-01-02 12:15:00,1282.8,1283.1,1282.6,1283.0
2019-01-02 12:20:00,1283.0,1283.2,1282.9,1283.2
2019-01-02 12:25:00,1283.2,1283.2,1282.9,1283.2
2019-01-02 12:30:00,1283.1,1283.3,1283.0,1283.2
2019-01-02 12:35:00,1283.3,1283.8,1283.2,1283.8
2019-01-02 12:40:00,1283.8,1283.8,1283.5,1283.8
2019-01-02 12:45:00,1283.9,1284.2,1283.8,1284.2
2019-01-02 12:50:00,1284.2,1284.4,1283.9,1284.2
2019-01-02 12:55:00,1284.1,1285.1,1283.7,1285.0
2019-01-02 13:00:00,1285.0,1285.0,1284.1,1284.5
2019-01-02 13:05:00,1284.5,1285.5,1284.3,1285.4
2019-01-02 13:10:00,1285.5,1285.5,1285.2,1285.3
2019-01-02 13:15:00,1285.4,1285.4,1285.1,1285.2
2019-01-02 13:20:00,1285.1,1285.2,1285.0,1285.1
2019-01-02 13:25:00,1285.2,1285.2,1285.0,1285.2
2019-01-02 13:30:00,1285.2,1285.7,1285.1,1285.7
2019-01-02 13:35:00,1285.6,1286.2,1285.6,1286.0
2019-01-02 13:40:00,1285.9,1286.6,1285.9,1286.5
2019-01-02 13:45:00,1286.5,1286.7,1286.4,1286.6
2019-01-02 13:50:00,1286.6,1286.9,1286.6,1286.7
2019-01-02 13:55:00,1286.6,1286.7,1286.3,1286.5
2019-01-02 15:00:00,1288.5,1290.3,1286.8,1290.0
2019-01-02 15:05:00,1290.0,1292.4,1289.5,1291.3
2019-01-02 15:10:00,1291.3,1292.1,1290.4,1291.2
2019-01-02 15:15:00,1291.3,1291.6,1290.9,1291.0
2019-01-02 15:20:00,1291.0,1291.3,1290.2,1290.8
2019-01-02 15:25:00,1290.7,1291.0,1289.9,1290.1
2019-01-02 15:30:00,1290.1,1290.1,1287.9,1289.0
2019-01-02 15:35:00,1288.9,1289.2,1288.2,1288.5
2019-01-02 15:40:00,1288.4,1289.0,1288.0,1288.2
2019-01-02 15:45:00,1288.3,1288.5,1287.8,1288.3
2019-01-02 15:50:00,1288.4,1288.5,1287.4,1287.8
2019-01-02 15:55:00,1287.8,1288.8,1287.7,1287.8
2019-01-02 16:00:00,1287.8,1288.4,1287.3,1287.3
2019-01-02 16:05:00,1287.3,1288.0,1287.3,1287.3
2019-01-02 16:10:00,1287.3,1287.8,1287.1,1287.8
2019-01-02 16:15:00,1287.8,1288.3,1287.8,1287.8
2019-01-02 16:20:00,1287.8,1288.2,1287.8,1288.2
2019-01-02 16:25:00,1288.1,1288.8,1288.1,1288.8
2019-01-02 16:30:00,1288.7,1289.1,1288.7,1289.0
2019-01-02 16:35:00,1289.0,1289.3,1288.6,1288.7
2019-01-02 16:40:00,1288.6,1288.8,1288.4,1288.4
2019-01-02 16:45:00,1288.3,1289.3,1288.3,1289.3
2019-01-02 16:50:00,1289.3,1289.3,1288.7,1288.8
2019-01-02 16:55:00,1288.8,1288.9,1288.5,1288.6
