DT,O,H,L,C
2019-01-01 15:00:00,6349.5,6371.75,6344.0,6366.25
2019-01-01 15:05:00,6367.0,6370.0,6363.25,6366.25
2019-01-01 15:10:00,6366.25,6373.25,6364.25,6370.25
2019-01-01 15:15:00,6370.0,6370.25,6366.75,6368.0
2019-01-01 15:20:00,6367.75,6374.0,6367.75,6373.5
2019-01-01 15:25:00,6373.5,6375.5,6372.5,6373.25
2019-01-01 15:30:00,6373.5,6379.75,6373.25,6378.0
2019-01-01 15:35:00,6377.75,6378.0,6376.75,6377.0
2019-01-01 15:40:00,6376.75,6377.25,6375.75,6376.0
2019-01-01 15:45:00,6376.25,6379.0,6375.75,6376.5
2019-01-01 15:50:00,6376.25,6377.25,6375.5,6376.0
2019-01-01 15:55:00,6376.0,6376.75,6372.25,6373.0
2019-01-01 16:00:00,6372.5,6374.0,6372.5,6373.0
2019-01-01 16:05:00,6372.75,6377.75,6369.5,6376.5
2019-01-01 16:10:00,6376.5,6376.75,6373.0,6374.0
2019-01-01 16:15:00,6374.5,6378.0,6373.5,6377.5
2019-01-01 16:20:00,6377.75,6378.25,6375.75,6376.5
2019-01-01 16:25:00,6376.5,6380.75,6376.5,6377.5
2019-01-01 16:30:00,6377.25,6386.25,6377.25,6379.25
2019-01-01 16:35:00,6379.5,6381.75,6377.0,6378.0
2019-01-01 16:40:00,6378.25,6379.25,6376.75,6377.25
2019-01-01 16:45:00,6376.75,6379.0,6376.5,6377.25
2019-01-01 16:50:00,6377.25,6379.75,6376.75,6379.75
2019-01-01 16:55:00,6379.75,6383.5,6377.5,6378.0
2019-01-01 17:00:00,6378.25,6379.5,6373.5,6374.75
2019-01-01 17:05:00,6374.75,6379.5,6373.25,6378.75
2019-01-01 17:10:00,6378.75,6384.75,6378.75,6381.25
2019-01-01 17:15:00,6381.5,6382.25,6378.75,6382.25
2019-01-01 17:20:00,6381.25,6381.25,6377.0,6378.75
2019-01-01 17:25:00,6378.5,6380.0,6377.5,6380.0
2019-01-01 17:30:00,6379.75,6381.0,6377.0,6378.25
2019-01-01 17:35:00,6378.25,6378.75,6374.75,6376.0
2019-01-01 17:40:00,6375.25,6376.5,6371.75,6372.75
2019-01-01 17:45:00,6372.0,6372.0,6361.75,6365.25
2019-01-01 17:50:00,6365.25,6366.5,6359.5,6360.75
2019-01-01 17:55:00,6360.25,6360.25,6343.5,6345.0
2019-01-01 18:00:00,6345.75,6347.25,6333.5,6334.5
2019-01-01 18:05:00,6335.0,6343.75,6335.0,6343.25
2019-01-01 18:10:00,6343.5,6343.75,6324.25,6329.0
2019-01-01 18:15:00,6328.5,6334.0,6320.0,6326.5
2019-01-01 18:20:00,6326.0,6327.5,6322.5,6326.25
2019-01-01 18:25:00,6326.25,6326.5,6317.0,6323.5
2019-01-01 18:30:00,6323.0,6323.0,6305.0,6308.75
2019-01-01 18:35:00,6308.5,6309.75,6292.25,6296.5
2019-01-01 18:40:00,6296.5,6304.25,6295.5,6302.25
2019-01-01 18:45:00,6302.5,6305.0,6294.0,6303.0
2019-01-01 18:50:00,6303.25,6310.25,6302.0,6309.0
2019-01-01 18:55:00,6308.75,6309.75,6303.75,6306.75
2019-01-01 19:00:00,6306.25,6308.5,6297.5,6299.5
